seqn,total_count
33238,528381
33239,292409
33240,1274330
33241,1608824
33244,1053933
33245,1055306
33246,1430831
33247,2161544
33249,944371
33251,1564385
33253,1329664
33254,4408680
33256,2260283
33257,25863
33259,1960577
33261,1649074
33262,791783
33265,1016907
33266,5946237
33270,2044870
33271,1568770
33272,507956
33274,1872139
33275,923082
33278,5637000
33280,1156711
33281,3105611
33282,1201820
33284,1423936
33285,661639
33286,2401164
33287,575583
33289,3912320
33290,991828
33291,288269
33294,290819
33295,19204
33296,1385430
33300,2423770
33302,2622961
33303,1224816
33305,2433373
33306,2293219
33307,1244061
33311,4079
33312,1170280
33315,1843783
33316,877078
33317,1487235
33319,510493
33320,355947
33321,1877610
33323,659477
33324,1638072
33325,3202742
33328,2309222
33329,1066963
33330,847774
33331,272517
33335,1950587
33337,20817
33338,432878
33344,2248370
33345,646538
33346,755656
33348,3247632
33349,867973
33351,1078018
33355,2132068
33356,906397
33357,1605584
33358,1104750
33359,457814
33360,2831542
33361,2707660
33362,2008168
33363,1607374
33364,2337020
33365,1333362
33366,1518845
33367,1187057
33368,355506
33374,2708944
33375,3217043
33376,2545372
33379,1174587
33380,930
33381,621266
33383,1748975
33384,1859703
33385,1728199
33386,5273845
33387,3525067
33389,522451
33390,1321492
33391,2146876
33392,3611191
33393,1953021
33394,2992405
33395,900693
33396,2898675
33397,1762727
33399,2690863
33400,3201048
33402,1027301
33403,2174833
33404,349282
33406,2162420
33410,2842394
33411,2556165
33412,2085557
33413,1132602
33414,1842690
33415,1090488
33416,656366
33418,1614488
33420,2265192
33424,1253118
33425,1504586
33426,451950
33428,1870325
33429,1022205
33430,1377649
33434,2422297
33436,3087844
33438,5246012
33439,2922215
33441,3668581
33442,1585288
33443,707776
33444,4464939
33445,1486708
33446,1831359
33447,1483355
33449,1854386
33451,1528055
33452,838334
33453,3417812
33454,761027
33455,2107456
33457,2947018
33458,1058120
33464,1336917
33465,1919528
33466,598026
33467,1601903
33468,919732
33469,1360747
33470,1916868
33471,1221513
33475,605163
33476,2312232
33477,2835194
33478,1918705
33479,129472
33483,991347
33484,691201
33485,1122121
33488,1541362
33489,1253610
33492,639161
33494,1622401
33496,1579206
33500,1075332
33501,411667
33502,4250259
33503,778253
33504,1351653
33507,1119392
33508,1295208
33509,1188942
33510,775815
33512,757690
33514,2163719
33516,2315930
33517,1085974
33518,2321835
33519,1871173
33520,1703031
33524,25561
33525,4391262
33526,3773918
33527,637321
33529,1123738
33530,1476330
33531,1593040
33532,2311926
33533,1455764
33534,1626876
33535,2297643
33536,2208783
33538,3849
33540,1888468
33541,1413859
33542,1738673
33543,613360
33544,514841
33545,2434292
33546,1118084
33548,2789886
33549,1255463
33550,2696475
33551,1377210
33552,3216950
33553,1720671
33554,2497894
33556,2116287
33557,2013785
33559,780174
33560,5431826
33562,1558975
33563,464551
33565,2322938
33566,524704
33568,1013533
33569,1496652
33570,1425449
33574,386053
33575,2028588
33576,1497832
33577,1477931
33578,2054778
33579,189685
33581,473725
33582,1218
33583,1926702
33584,2561384
33585,2562708
33587,1266546
33588,329922
33589,1762474
33590,2671603
33591,1708145
33592,1604778
33594,859525
33595,763926
33596,652288
33597,1980075
33604,490912
33605,561507
33606,1630320
33607,549623
33609,1277045
33610,2373652
33611,623967
33612,1018669
33614,1108702
33615,3964468
33616,909006
33617,511140
33618,2222114
33619,3305462
33620,1461908
33621,1780151
33624,607377
33625,955494
33627,1071921
33629,2518658
33630,2151092
33633,1294433
33634,56935
33635,548913
33637,511861
33639,2062157
33643,296025
33644,5114195
33645,1542411
33646,751514
33647,1169679
33648,1105160
33653,1901510
33656,1736235
33657,1201611
33658,3840083
33659,1076282
33660,2120334
33662,1244421
33665,223230
33666,1369468
33667,1021280
33668,615944
33669,1528661
33670,183707
33674,1641863
33675,624021
33676,1724465
33677,4265179
33679,2503513
33680,1788534
33681,1488381
33684,1140084
33687,1991126
33688,874471
33690,1279000
33691,809150
33693,750412
33695,3620385
33696,674185
33699,27958
33700,1332427
33702,3337715
33708,50565
33711,3026076
33712,2470061
33715,847536
33718,2848474
33719,1277999
33720,902008
33721,1578782
33725,666539
33726,1175101
